Date,County,None,D0,D1,D2,D3,D4
2013-02,Lassen,12.74,23.009999999999998,56.167500000000004,8.084999999999999,0.0,0.0
2013-02,Los Angeles,0.34249999999999997,73.03,20.3275,6.3,0.0,0.0
2013-02,Madera,0.31,27.662499999999998,66.4725,5.5575,0.0,0.0
2013-02,Marin,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,Mariposa,21.44,31.882499999999997,46.6775,0.0,0.0,0.0
2013-02,Mendocino,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,Merced,0.0475,9.9575,89.99249999999999,0.0,0.0,0.0
2013-02,Modoc,0.0,5.125,59.9175,34.957499999999996,0.0,0.0
2013-02,Mono,0.805,6.9925,67.88,24.32,0.0,0.0
2013-02,Monterey,13.924999999999999,52.11,33.335,0.63,0.0,0.0
2013-02,Napa,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,Nevada,69.185,30.07,0.7475,0.0,0.0,0.0
2013-02,Orange,0.0,100.0,0.0,0.0,0.0,0.0
2013-02,Placer,74.8725,25.127499999999998,0.0,0.0,0.0,0.0
2013-02,Plumas,61.1075,37.345,1.5425,0.0,0.0,0.0
2013-02,Riverside,0.0,50.262499999999996,44.6875,5.05,0.0,0.0
2013-02,Sacramento,75.0,25.0,0.0,0.0,0.0,0.0
2013-02,San Benito,7.0925,33.765,59.142500000000005,0.0,0.0,0.0
2013-02,San Bernardino,0.0,25.557499999999997,19.902499999999996,54.54,0.0,0.0
2013-02,San Diego,0.0,100.0,0.0,0.0,0.0,0.0
2013-02,San Francisco,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,San Joaquin,54.489999999999995,43.68000000000001,1.8325,0.0,0.0,0.0
2013-02,San Luis Obispo,0.0,7.5,80.965,11.535,0.0,0.0
2013-02,San Mateo,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,Santa Barbara,0.0,59.682500000000005,40.317499999999995,0.0,0.0,0.0
2013-02,Santa Clara,50.5225,49.4775,0.0,0.0,0.0,0.0
2013-02,Santa Cruz,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,Shasta,62.8025,37.1975,0.0,0.0,0.0,0.0
2013-02,Sierra,48.8775,37.59,13.535,0.0,0.0,0.0
2013-02,Siskiyou,59.58,39.669999999999995,0.7525000000000001,0.0,0.0,0.0
2013-02,Solano,59.5925,40.4075,0.0,0.0,0.0,0.0
2013-02,Sonoma,50.0,50.0,0.0,0.0,0.0,0.0
2013-02,Stanislaus,14.274999999999999,37.9275,47.795,0.0,0.0,0.0
2013-02,Sutter,56.39,43.61,0.0,0.0,0.0,0.0
2013-02,Tehama,57.21,42.79,0.0,0.0,0.0,0.0
2013-02,Trinity,50.3525,49.6475,0.0,0.0,0.0,0.0
2013-02,Tulare,0.0,0.0,15.892500000000002,84.1075,0.0,0.0
2013-02,Tuolumne,55.705,36.105000000000004,8.192499999999999,0.0,0.0,0.0
2013-02,Ventura,1.25,87.30999999999999,11.440000000000001,0.0,0.0,0.0
2013-02,Yolo,56.805,43.195,0.0,0.0,0.0,0.0
2013-02,Yuba,74.4475,25.5525,0.0,0.0,0.0,0.0
2013-03,Alameda,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Alpine,14.81,84.82249999999999,0.3625,0.0,0.0,0.0
2013-03,Amador,14.865,85.13499999999999,0.0,0.0,0.0,0.0
2013-03,Butte,16.35,83.65,0.0,0.0,0.0,0.0
2013-03,Calaveras,8.845,89.8225,1.3275000000000001,0.0,0.0,0.0
2013-03,Colusa,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Contra Costa,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Del Norte,26.3775,73.6225,0.0,0.0,0.0,0.0
2013-03,El Dorado,31.01,68.99,0.0,0.0,0.0,0.0
2013-03,Fresno,0.0,1.92,35.3025,62.7775,0.0,0.0
2013-03,Glenn,4.035,95.965,0.0,0.0,0.0,0.0
2013-03,Humboldt,45.175,54.825,0.0,0.0,0.0,0.0
2013-03,Imperial,0.0,32.335,67.665,0.0,0.0,0.0
2013-03,Inyo,0.0,0.0,7.41,92.59,0.0,0.0
2013-03,Kern,0.0,0.0,36.9275,63.072500000000005,0.0,0.0
2013-03,Kings,0.0,0.0,0.0,100.0,0.0,0.0
2013-03,Lake,31.97,68.03,0.0,0.0,0.0,0.0
2013-03,Lassen,0.0,35.449999999999996,56.48499999999999,8.065000000000001,0.0,0.0
2013-03,Los Angeles,0.1275,73.0875,21.122500000000002,5.6625000000000005,0.0,0.0
2013-03,Madera,0.0,14.97,62.8,22.23,0.0,0.0
