Date,County,Duration,AcresBurned
2014-06,Mariposa,4.0,130.0
2014-06,Kern,8.0,3895.0
2014-06,Tehama,1.0,225.0
2014-06,Calaveras,2.0,120.0
2014-06,Calaveras,3.0,85.0
2014-07,Napa,9.0,4300.0
2014-07,Lake,9.0,4300.0
2014-07,El Dorado,1.0,30.0
2014-07,Shasta,16.0,12661.0
2014-07,Yolo,9.0,6488.0
2014-07,Modoc,5.0,1469.0
2014-07,Modoc,3.0,1651.0
2014-07,Trinity,3.0,15.0
2014-07,San Diego,4.0,217.0
2014-07,Contra Costa,2.0,80.0
2014-07,Shasta,4.0,75.0
2014-07,San Luis Obispo,2.0,47.0
2014-07,Nevada,2.0,38.0
2014-07,Shasta,2.0,143.0
2014-07,Kern,11.0,1680.0
2014-07,Butte,3.0,72.0
2014-07,El Dorado,9.0,4240.0
2014-07,Amador,9.0,4240.0
2014-07,Shasta,17.0,39736.0
2014-07,Modoc,15.0,13153.0
2014-07,Siskiyou,20.0,35302.0
2014-07,Shasta,26.0,32416.0
2014-07,Shasta,108.0,6258.0
2014-07,Siskiyou,19.0,5503.0
2014-08,Shasta,1.0,25.0
2014-08,Madera,109.0,10.0
2014-08,Madera,8.0,612.0
2014-08,Modoc,2.0,101.0
2014-08,Siskiyou,4.0,0.0
2014-08,San Diego,2.0,20.0
2014-08,Los Angeles,121.0,190.0
2014-08,Los Angeles,118.0,274.0
2014-08,Nevada,2.0,84.0
2014-08,Kern,10.0,4045.0
2014-08,Trinity,5.0,580.0
2014-09,Shasta,7.0,1375.0
2014-09,Tuolumne,2.0,70.0
2014-09,Humboldt,4.0,210.0
2014-09,Napa,5.0,27.0
2014-10,Mariposa,6.0,311.0
2014-09,El Dorado,27.0,97717.0
2015-02,Siskiyou,7.0,200.0
2014-09,Orange,11.0,968.0
2014-09,Nevada,6.0,247.0
2014-09,Madera,9.0,320.0
2014-09,Siskiyou,27.0,516.0
2014-10,San Bernardino,2.0,48.0
2014-09,El Dorado,4.0,94.0
2014-09,El Dorado,1.0,20.0
2015-06,San Diego,1.0,80.0
2015-04,Plumas,6.0,137.0
2015-04,Riverside,7.0,1049.0
2015-05,Merced,1.0,275.0
2015-06,Humboldt,2.0,20.0
2015-06,Trinity,20.0,1542.0
2015-06,Kern,1.0,67.0
2015-06,Napa,2.0,38.0
2015-06,Amador,2.0,60.0
2015-06,Tehama,1.0,55.0
2015-06,San Diego,3.0,171.0
2015-06,San Bernardino,46.0,31359.0
2015-06,Yuba,5.0,158.0
2015-06,Madera,8.0,920.0
2015-06,Madera,3.0,135.0
2015-06,Lassen,2.0,60.0
2015-06,Alpine,4.0,0.0
2015-06,Los Angeles,3.0,415.0
2015-06,San Bernardino,5.0,100.0
2015-06,Napa,2.0,19.0
2015-06,Mendocino,2.0,35.0
2015-07,Tehama,1.0,170.0
2015-07,Mendocino,2.0,23.0
2015-07,Solano,3.0,150.0
2015-07,Solano,1.0,40.0
2015-07,Shasta,2.0,18.0
2015-07,San Bernardino,10.0,54.0
2015-07,San Luis Obispo,6.0,95.0
2015-07,Riverside,1.0,21.0
2015-07,Orange,3.0,214.0
2015-07,Siskiyou,2.0,181.0
2015-07,San Diego,2.0,25.0
2015-07,San Bernardino,5.0,4250.0
2015-07,Los Angeles,19.0,200.0
2015-07,San Benito,1.0,25.0
2015-07,Tulare,6.0,430.0
2015-07,Siskiyou,2.0,24.0
2015-07,Napa,15.0,8051.0
2016-10,Napa,3.0,65.0
2015-07,Placer,1.0,26.0
2015-07,El Dorado,7.0,75.0
2015-07,Modoc,4.0,116.0
2015-07,Modoc,3.0,77.0
2015-07,San Diego,3.0,167.0
2015-07,San Diego,2.0,25.0
2015-07,Nevada,19.0,2304.0
2015-07,Humboldt,9.0,158.0
2015-07,Madera,20.0,5702.0
2015-08,Calaveras,6.0,114.0
2015-07,Stanislaus,1.0,40.0
2015-07,Humboldt,4.0,16.0
2015-07,Tulare,49.0,6980.0
2015-07,Butte,6.0,400.0
2015-07,Lake,17.0,69438.0
2015-07,Shasta,3.0,75.0
2015-07,Shasta,4.0,212.0
2015-07,Tuolumne,7.0,204.0
2015-08,Tuolumne,2.0,112.0
2015-07,Contra Costa,1.0,195.0
2015-07,Shasta,2.0,90.0
2015-07,Tulare,7.0,86.0
2015-07,Mendocino,5.0,50.0
2015-08,Riverside,6.0,543.0
2015-07,Modoc,2.0,4863.0
2015-08,Shasta,3.0,75.0
2015-08,Santa Barbara,-16648.0,52.0
2015-08,Yuba,3.0,30.0
2015-08,Shasta,2.0,59.0
2015-08,Lassen,2.0,10570.0
2015-08,San Diego,2.0,55.0
2015-08,Tehama,2.0,110.0
2015-08,Napa,17.0,25118.0
2015-08,Lake,17.0,25118.0
2015-08,San Luis Obispo,13.0,2446.0
2015-08,Humboldt,12.0,146.0
2015-08,Alameda,4.0,2700.0
2015-08,Lake,2.0,22.0
2015-08,Lake,6.0,215.0
2015-08,San Bernardino,20.0,55.0
2015-08,Trinity,5.0,128.0
2015-09,Lake,7.0,673.0
2015-09,Butte,2.0,72.0
2015-08,Lassen,2.0,30.0
2015-09,Tuolumne,8.0,108.0
2015-09,Trinity,3.0,35.0
2015-09,Lassen,2.0,40.0
2015-09,Fresno,3.0,170.0
2015-09,Amador,37.0,70868.0
2015-09,Butte,7.0,1042.0
2015-09,Shasta,3.0,109.0
2015-10,Butte,1.0,104.0
2015-07,Fresno,102.0,151623.0
2016-04,Merced,1.0,30.0
2015-12,Ventura,5.0,1388.0
2015-11,Ventura,1.0,50.0
2015-10,San Benito,5.0,670.0
2015-10,Santa Barbara,12.0,21.0
2015-09,Nevada,0.0,30.0
2015-09,Monterey,9.0,1086.0
2015-09,Monterey,3.0,95.0
2016-04,Los Angeles,1.0,0.0
2016-05,Tuolumne,3.0,85.0
2016-05,Monterey,4.0,3876.0
2016-05,Los Angeles,3.0,156.0
2016-05,Fresno,1.0,278.0
2016-06,Stanislaus,3.0,120.0
2016-05,Butte,1.0,91.0
2016-05,Butte,1.0,30.0
2016-05,San Luis Obispo,1.0,150.0
2016-05,Monterey,1.0,25.0
2016-05,Fresno,3.0,132.0
2016-05,Placer,3.0,169.0
2016-05,San Diego,8.0,70.0
2016-06,Tulare,19.0,0.0
2016-06,Butte,1.0,112.0
2016-06,San Luis Obispo,3.0,86.0
2016-06,Calaveras,4.0,33.0
2016-06,Tehama,1.0,43.0
2016-06,Placer,1.0,88.0
2016-06,El Dorado,2.0,25.0
2016-06,San Benito,1.0,30.0
2016-06,Sacramento,1.0,32.0
2016-06,Riverside,4.0,139.0
2016-06,Monterey,17.0,2520.0
2016-06,San Luis Obispo,16.0,0.0
2016-06,Shasta,2.0,24.0
2016-06,Amador,5.0,210.0
2016-06,San Diego,12.0,7609.0
2016-06,Monterey,3.0,70.0
2016-06,Tehama,1.0,80.0
2016-06,Kern,2.0,61.0
2016-06,San Benito,1.0,83.0
2016-06,Siskiyou,155.0,2860.0
2016-06,Santa Barbara,28.0,7474.0
2016-06,Yolo,2.0,277.0
2016-06,Butte,1.0,49.0
2016-06,Kern,19.0,48019.0
2016-06,Monterey,2.0,52.0
2016-06,Merced,2.0,1246.0
2016-06,Orange,4.0,47.0
2016-06,Alameda,2.0,211.0
2016-06,Mono,15.0,650.0
2016-06,Lake,3.0,215.0
2016-06,Placer,21.0,5646.0
2016-06,El Dorado,21.0,5646.0
2016-06,Amador,2.0,372.0
2016-07,Fresno,3.0,188.0
2016-07,Los Angeles,8.0,1109.0
2016-07,San Benito,2.0,95.0
2016-07,Kern,3.0,554.0
2016-07,Shasta,5.0,441.0
2016-06,Tehama,5.0,464.0
2016-07,Kern,8.0,1785.0
2016-06,Ventura,1.0,2304.0
2016-07,Tehama,1.0,88.0
2016-07,Fresno,5.0,2944.0
2016-07,Inyo,2.0,30.0
2016-07,Calaveras,7.0,310.0
2016-07,Sacramento,2.0,87.0
2016-07,Fresno,4.0,145.0
2016-07,Madera,3.0,103.0
2016-07,Ventura,1.0,45.0
2016-07,Ventura,2.0,15.0
2016-07,Calaveras,5.0,341.0
2016-07,Calaveras,2.0,35.0
2016-07,Yolo,1.0,84.0
2016-07,Kern,2.0,221.0
2016-07,Ventura,3.0,78.0
2016-07,Kern,2.0,138.0
2016-07,Fresno,2.0,123.0
2016-07,San Diego,3.0,100.0
2016-07,Lake,4.0,69.0
2016-07,Siskiyou,2.0,26.0
2016-07,Fresno,11.0,2241.0
2016-07,Calaveras,2.0,57.0
2016-07,Solano,1.0,57.0
2016-07,San Diego,10.0,1245.0
2016-07,Siskiyou,2.0,23.0
2016-07,Monterey,2.0,100.0
2016-07,Monterey,84.0,132127.0
2016-08,Orange,6.0,150.0
2016-09,San Bernardino,2.0,20.0
2016-09,Butte,8.0,850.0
2016-09,Mendocino,6.0,50.0
2016-09,San Bernardino,3.0,50.0
2016-09,Nevada,-17051.0,38.0
2016-09,Shasta,3.0,75.0
2016-07,El Dorado,2.0,50.0
2016-07,San Diego,3.0,28.0
2016-07,Contra Costa,1.0,40.0
2016-07,Madera,3.0,38.0
2016-07,Tuolumne,3.0,32.0
2016-07,Santa Clara,2.0,114.0
2016-08,San Diego,2.0,35.0
2016-08,Tehama,2.0,80.0
2016-08,Butte,2.0,550.0
2016-08,Yolo,11.0,5731.0
2016-08,Kern,4.0,100.0
2016-08,Madera,3.0,85.0
2016-08,Amador,2.0,26.0
2016-08,Santa Clara,3.0,25.0
2016-08,San Bernardino,10.0,8110.0
2016-08,Lake,2.0,45.0
2016-08,Lake,2.0,36.0
2016-08,Fresno,10.0,7050.0
2016-08,San Bernardino,8.0,36274.0
2016-08,Shasta,2.0,35.0
2016-08,Humboldt,8.0,21.0
2016-08,San Luis Obispo,25.0,46344.0
2016-08,Lake,14.0,3929.0
2016-08,Kern,47.0,29322.0
2016-08,Humboldt,6.0,23.0
2016-09,Sacramento,2.0,40.0
2016-08,Alpine,13.0,0.0
2016-09,Fresno,4.0,158.0
2016-09,Santa Clara,2.0,25.0
2016-08,Yuba,1.0,400.0
2016-08,Mendocino,2.0,36.0
2016-08,Kern,1.0,304.0
2016-08,Siskiyou,2.0,33867.0
2016-08,San Joaquin,1.0,147.0
2016-08,Humboldt,14.0,599.0
2016-09,Lassen,12.0,2575.0
2016-08,Butte,5.0,88.0
2016-08,Calaveras,4.0,450.0
2016-08,Tulare,79.0,395.0
2016-08,Siskiyou,7.0,710.0
2016-09,Modoc,4.0,380.0
2016-08,Kern,4.0,518.0
2016-08,Lake,2.0,20.0
2016-09,Siskiyou,2.0,32.0
2016-09,Butte,4.0,30.0
2016-09,Tehama,1.0,360.0
2016-09,Del Norte,5.0,150.0
